2959,2966.800049,2963
2967,2969.399902,2963
2970,2968.600098,2963
2963,2963.399902,2963
2967,2964.300049,2963
2967,2967,2963
2973,2968.199951,2964
2977,2973.800049,2965
2978,2970.199951,2967
2979,2972.100098,2967
2975,2971.300049,2967
2971,2971.699951,2967
2975,2964.399902,2964
2962,2967.100098,2961
2959,2968,2960
2960,2971.199951,2965
2963,2972.600098,2970
2963,2975.300049,2963
2963,2969.399902,2967
2961,2970.5,2967
2965,2968.199951,2967
2974,2968.699951,2965
2977,2967.800049,2963
2973,2968.899902,2963
2969,2970.100098,2967
2971,2967.699951,2961
2970,2964.100098,2960
2965,2963.699951,2963
2975,2964,2963
2971,2969.199951,2965
2963,2967.399902,2963
2965,2968.899902,2963
2961,2972.5,2962
2962,2969.800049,2965
2962,2968.300049,2962
2957,2967.199951,2963
2962,2970.199951,2967
2974,2969.899902,2967
2967,2971,2966
2975,2972.399902,2967
2987,2972.600098,2970
2989,2978.199951,2973
2975,2970.5,2965
2967,2965.399902,2963
2983,2965.399902,2963
2961,2963.5,2961
2960,2965.5,2960
2959,2963.800049,2961
2960,2969,2967
2966,2975.100098,2967
2971,2978.899902,2975
2967,2979.300049,2974
2971,2975.800049,2973
2971,2975.899902,2971
2954,2968.199951,2965
2971,2962.899902,2960
2967,2960.600098,2967
2967,2964,2959
2967,2964.399902,2962
2961,2963.699951,2959
2967,2962.899902,2960
2960,2960.100098,2960
2961,2962.100098,2960
2959,2961.300049,2959
2951,2960.600098,2959
2959,2964.699951,2960
2958,2965.800049,2961
2955,2970.600098,2965
2965,2969.600098,2963
2964,2966,2961
2965,2963,2961
2967,2962.100098,2959
2963,2960.300049,2960
2966,2961.600098,2961
2967,2968.100098,2960
2975,2968.399902,2966
2983,2966,2960
2977,2967,2965
2975,2966.399902,2965
2962,2964.199951,2960
2959,2959.100098,2955
2951,2960.800049,2958
2957,2963,2959
2957,2966.600098,2959
2959,2967.600098,2961
2959,2966.800049,2961
2960,2966.199951,2963
2960,2966.5,2963
2967,2963.300049,2963
2963,2962.300049,2959
2963,2962.5,2957
2965,2965,2960
2973,2969,2961
2973,2967.899902,2963
2970,2966.399902,2963
2971,2962.699951,2961
2963,2963.199951,2960
2967,2962,2960
2960,2961.399902,2959
2957,2962,2955
2959,2964.399902,2961
2959,2966.699951,2959
2961,2966.5,2959
2960,2966.399902,2961
2959,2964.399902,2963
2959,2961.399902,2959
2965,2965.199951,2961
2967,2960.800049,2960
2967,2962.300049,2959
2966,2964.5,2960
2975,2967.600098,2965
2971,2966.5,2965
2971,2967.199951,2965
2967,2965.399902,2963
2950,2964.899902,2963
